track_id,track_name,popularity,duration_ms,explicit,album_name,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_names
2pbxUf0sdDvQmKpYZCbRXL,To & Fro,0,244333,False,Signs Of A Struggle,2005,album,0.752,0.453,1,-8.821,0,0.129,0.0368,1.17e-06,0.132,0.845,96.084,4,Mattafix
4f6rmvDDKl73lbPlMJckxG,Soulstorm,44,234840,False,Nile,2005-09-01,album,0.743,0.663,9,-8.874,0,0.0369,0.676,0.192,0.213,0.973,140.011,4,Patrice
0jTj0ubJL015ABWVQ7A78q,She's Got Me (feat. Daniel Merriweather),23,229493,False,Here Comes The Fuzz,2003-08-29,album,0.818,0.645,2,-3.772,1,0.0917,0.0467,2.51e-06,0.196,0.676,100.824,4,"Mark Ronson, Daniel Merriweather"
7AtNAtqkUYUI22XMa4duN1,Sun Goes Down,30,196600,False,Set The Mood,2007-01-01,album,0.561,0.809,5,-3.751,1,0.0301,0.157,0.0,0.482,0.941,171.789,4,David Jordan
48Ok2vJ3T1IhAEXbvEH5Vw,My Delirium,0,254800,False,Ladyhawke (International Version),2008-01-01,album,0.459,0.824,9,-3.824,0,0.0465,0.000717,0.000582,0.471,0.425,150.03,4,Ladyhawke
3xxmjMvJsSR3L7mUOxP9QA,Never Forget You,62,192213,False,Wild Young Hearts,2009-01-01,album,0.569,0.692,9,-4.683,1,0.0323,0.0167,3.78e-05,0.126,0.737,141.632,4,Noisettes
0TcFqXBMga80dWkWbzIl7p,Shark In The Water,45,184293,False,Travelling Like The Light,2009-01-01,album,0.554,0.805,4,-3.128,1,0.0597,0.0279,0.0,0.359,0.697,98.981,4,V V Brown
5hgxGGhRlAnPMYfFCuC1vY,Remedy,39,199333,False,Hands (Standard DMD),2008-06-08,album,0.586,0.804,6,-2.998,0,0.0475,0.0332,0.0,0.242,0.81,128.963,4,Little Boots
1jJ02EQ9BDt53gsVgzhAUY,Heartbeat,8,185000,False,Anniemal,2004-09-28,album,0.691,0.7,11,-6.695,0,0.0274,0.00457,0.186,0.245,0.618,128.005,4,Annie
1GydNjn2iOtK5kt0x8pehB,Take It Like A Man,5,182746,False,Take It Like A Man,2007-01-01,single,0.656,0.764,4,-4.074,1,0.0483,0.213,1.88e-05,0.316,0.791,136.954,4,Dragonette
4OGR8bneiqjYPHHm2aolUV,I'm So Excited,38,229386,False,This Island,2004-10-19,album,0.631,0.915,7,-1.849,0,0.0476,0.0386,0.00191,0.0898,0.787,183.173,4,Le Tigre
5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger",70,226413,False,Discovery,2001-03-12,album,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4,Daft Punk
0eO7SWs88desmou6tFqW36,Smiley Faces,44,185413,False,St. Elsewhere,2006-04-24,album,0.559,0.884,10,-2.647,0,0.0376,0.00924,0.0,0.33,0.621,86.985,4,Gnarls Barkley
4tUTnCBft9qif7mlm51zFK,We Made You,43,269613,False,Relapse,2009-05-15,album,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,4,Eminem
3K4r00KlXytLJDfuytngmx,Warwick Avenue,64,226386,False,Rockferry,2008,album,0.493,0.59,0,-5.814,0,0.0392,0.339,0.0,0.121,0.502,169.908,4,Duffy
7oTov4796jJPow87dcAsyn,Beware of the Dog,0,190935,False,Walk with Me,2006-08-21,album,0.548,0.968,6,-3.86,0,0.115,0.00285,0.0228,0.323,0.688,130.064,4,Jamelia
0BBOLOV5JntPL3341swIre,Turn Me On,66,192106,False,Kevin Lyttle (US Domestic Release),2004-03-30,album,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,4,Kevin Lyttle
3RmKpob8xzv1pzHEQrMJah,Let Me Blow Ya Mind,73,230133,True,Scorpion,2001-01-01,album,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,4,"Eve, Gwen Stefani"
76rCrPvrlLO4CyqAeaLu4o,Standing In the Way of Control,0,256399,False,Standing in the Way of Control,2005-10-11,album,0.697,0.919,7,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,4,Gossip
4hrae8atte6cRlSC9a7VCO,Always On Time,4,245133,True,Pain Is Love,2001-01-01,album,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,4,"Ja Rule, Ashanti"
4IghZqqXQrEDTbPOJlZzC0,Set Me Free (Empty Rooms) - Video Version,31,233293,False,Tripomatic Fairytales 3003,2004-06-21,album,0.608,0.828,9,-6.787,0,0.0392,0.0131,0.000185,0.066,0.224,113.992,4,"Jam & Spoon, Rea Garvey"
1EpjMVaoloW4sLIdfVD6P8,Wrong,53,193680,False,Sounds of the Universe (Deluxe),2009-04-17,album,0.517,0.876,11,-3.276,0,0.0362,0.167,0.0,0.247,0.236,81.866,4,Depeche Mode
33RanZdp5T8OdsH95qgGA8,Libertine - Radio Edit,45,197080,False,Different,2002-01-01,album,0.676,0.994,6,-6.498,1,0.0387,0.00225,0.0358,0.208,0.843,137.989,4,Kate Ryan
7uyivkbdc8iH8wyBGBhlXV,One More Chance,43,229000,False,Number Ones,1979,compilation,0.476,0.596,7,-4.234,1,0.0705,0.108,0.0,0.138,0.549,80.74,4,Michael Jackson
